Who formalized the algorithm concept?	Church and Turing in 1930s
<div>When opening one new site in the percolation simulation, how many times is union() called?</div>	0, 1, 2, 3 or 4 times.
How many times is called the find operation in the percolation connectivity model?	Only once, because we introduce 2 virtual sites (and connections to top and bottom sites), so the system percolates if virtual top site is connected with the virtual bottom one.<div><br /></div><div>This way we avoid the brute-force algorithm (N<sup>2 </sup>calls to find) consisting of checking if any site on bottom row is connected to a site on top row.</div>
Proof that if the T(N) vs N is a straight line in a log-log scale then T(N) follows the power law.	If log(T(N)) = b log(N) + c &nbsp; &nbsp; &nbsp;<div><br /></div><div>;then if you raise both sides to 2: &nbsp;</div><div><br /></div><div>T(N) = &nbsp;a N <sup>b</sup>&nbsp; &nbsp;</div><div><br /></div><div>; where b is the slope of the straight in log-log plot.</div><div>&nbsp; a = 2<sup>c</sup></div>
How to estimate b in a power-law relationship?	Using the doubling hypothesis:<div><br /></div><div>Run the program doubling the size of the input, then b = lg ratio &nbsp;where ratio is the ration between the times for each of the input sizes.</div>
How to estimate a in a power-law relationship (assuming you know b)?	Run the program (for a sufficient large value of N) and solve for a.
Which kind of effects determine the exponent b and the constant a in power-law relationship?	System independent effects:<div>* Algorithm.</div><div>* Input data.</div><div><br /></div><div><br /></div><div><span style=" font-style: normal; font-weight: normal;">System dependent effects:</span></div><div><span style=" font-style: normal; font-weight: normal;">* Hardware: CPU, memory, cache...</span></div><div><span style=" font-style: normal; font-weight: normal;">* Software: compiler, interpreter, garbage collector...</span></div><div><span style=" font-style: normal; font-weight: normal;">* System: operating system, network, other apps...</span></div><div><span style=" font-style: normal; font-weight: normal;"><br /></span></div><div><span style=" font-style: normal; font-weight: normal;"><br /></span></div><div>System independent effects determines the exponent b.</div><div>Both, system independent and system dependent effects determine the constant a.</div><div><br /></div>
What is the cost model simplification to calculate running time?	Consist of use some basic operations as a proxy for running time.
What is the tilde notation simplification to estimate running time?	Consist of ignoring lower order terms:<div>* when N is large, terms are negligible.</div><div>* when N is small, we don't care.</div>
How can you estimate a discrete sum?	Replacing the sum with an integral and using calculus.
Describe the common order-of-growth classification	<div>order-of-growth &nbsp; &nbsp;name &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; typical code &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; description &nbsp; &nbsp; &nbsp; &nbsp; example &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; T(2N)/T(N)</div><div>&nbsp;</div><div>1 &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;constant &nbsp; &nbsp; &nbsp; &nbsp;a = b + c; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;statement &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; add two numbers &nbsp; &nbsp; &nbsp; &nbsp;1</div><div><br /></div><div>log N &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;logarithmic &nbsp; &nbsp; while (N &gt; 1) &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;divide in half &nbsp; &nbsp; &nbsp; binary search &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;~ 1</div><div>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; { N = N / 2; ... }</div><div><br /></div><div>N &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;linear &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; for (int i = 0; i &lt; N; i++) &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; loop &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;find the maximum &nbsp; &nbsp; &nbsp; &nbsp;2</div><div>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;{ ... }</div><div><br /></div><div>N log N &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; linearithmic &nbsp; &nbsp; mergesort &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;divide&nbsp;and &nbsp; &nbsp; &nbsp; &nbsp; mergesort &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; ~ 2 &nbsp;</div><div>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; conquer</div><div><br /></div><div>N<sup>2</sup>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; quadratic &nbsp; &nbsp; &nbsp; &nbsp;for (int i = 0; i &lt; N; i++) &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; double loop &nbsp; &nbsp; &nbsp; check all pairs &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;4</div><div>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;for (int j = 0; j &lt; N; j++)</div><div>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;{ ... }</div><div><br /></div><div>N<sup>3</sup>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; qubic &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; for (int i = 0; i &lt; N; i++) &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; triple loop &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;check all triples &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; 8</div><div>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;for (int j = 0; j &lt; N; j++)</div><div>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;for (int k = 0; k &lt; N; k++)</div><div>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;{ ... }</div><div><br /></div><div>2<sup>N</sup>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;exponential &nbsp; &nbsp; &nbsp; &nbsp; combinatorial search &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;exhaustive search &nbsp; check all subsets &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;T(N)</div>
What kind of algorithms you need to keep the pace of Moore's Law?	Linear or linearithmic (or best).
Describe an improved algorithm to solve the 3-sum problem	Sorting-based algorithm for 3-sum:<div><br /></div><div>* Sort the N numbers.</div><div>* For each pair of numbers a[i] and a[j] binary search for -(a[i] + a[j]).</div><div><br /></div><div>The order of growth of this algorithm will be N<sup>2 </sup>Lg N which is much better than the N<sup>3</sup>&nbsp;of the brute force algorithm.</div>
Which types of analyses of algorithms exists?	Best case: lower bound in cost.<div>Worst case: upper bound in cost.</div><div>Average case: expected cost.</div>
Describe the commonly used notations in theory of algorithms	- Big Theta notation: asymptotic order of growth. Used to classify algorithms.<div>- Big Oh notation: Upper bounds.</div><div>- Big Omega notation: Lower bounds.</div>
Big-Oh notation can be interpreted as an approximate model?	No, it's a common mistake. To provide approximate models you must use the tilde notation. Big-Oh notation provides upper bounds.
What are the memory usage for Java primitive types?	boolean &nbsp;1 byte<div>byte &nbsp; &nbsp; &nbsp; 1 byte</div><div>char &nbsp; &nbsp; &nbsp; 2 bytes</div><div>int &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;4 bytes</div><div>float &nbsp; &nbsp; &nbsp; 4 bytes</div><div>long &nbsp; &nbsp; &nbsp; 8 bytes</div><div>double &nbsp; 8 bytes</div>
What is the memory overhead of arrays in Java?	24 bytes.<div><br /></div><div>Ex:</div><div>char[] &nbsp; &nbsp; &nbsp;2N + 24</div><div>int[] &nbsp; &nbsp; &nbsp; &nbsp; 4N + 24</div><div>double[] &nbsp; 8N + 24</div>
What is the typical memory usage of Java objects?	Object overhead: 16 bytes<div>Reference: &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; 8 bytes</div><div>Padding: &nbsp;each object use a multiple of 8 bytes.</div><div><br /></div><div>Ex:</div><div><br /></div><div>Date {</div><div>&nbsp; int day</div><div>&nbsp; int month</div><div>&nbsp; int year</div><div>}</div><div><br /></div><div>uses 32 bytes of memory =&nbsp;</div><div>&nbsp; &nbsp; &nbsp; &nbsp;16 bytes object overhead</div><div>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp;4 bytes day</div><div>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp;4 bytes month</div><div>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp;4 bytes year</div><div>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp;4 bytes padding</div>
What's the memory usage of a Java String object?	<br /><div>public class String {</div><div>&nbsp; private char[] value;</div><div>&nbsp; private int offset;</div><div>&nbsp; private int count;</div><div>&nbsp; private int hash;</div><div>}</div><div><br /></div><div>object overhead = 16 bytes</div><div>value = &nbsp; 8 bytes reference</div><div>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; 2N + 24 &nbsp;(char[])</div><div>offset = 4 bytes</div><div>count = 4 bytes</div><div>hash = 4 bytes</div><div>padding = 4 bytes</div><div><br /></div><div>2N + 64 ~ 2N</div>
<div>Give the id[] array that results from the following sequence of 6 union</div><div>operations on a set of 10 items using the quick-find algorithm.</div><div><br /></div><div>&nbsp; &nbsp; 5-4 9-0 5-3 7-0 7-1 1-2&nbsp;</div><div><br /></div><div>Recall: our quick-find convention for the union operation p-q is to change id[p]&nbsp;(and perhaps some other entries) but not id[q].</div>	<div>The correct answer is:2 2 2 3 3 3 6 2 8 2</div><div><br /></div><div>Here is the id[] array after each union operation:</div><div><br /></div><div>&nbsp; &nbsp; &nbsp; 0 1 2 3 4 5 6 7 8 9&nbsp;</div><div>5-4: &nbsp;0 1 2 3 4 4 6 7 8 9&nbsp;</div><div>9-0: &nbsp;0 1 2 3 4 4 6 7 8 0&nbsp;</div><div>5-3: &nbsp;0 1 2 3 3 3 6 7 8 0&nbsp;</div><div>7-0: &nbsp;0 1 2 3 3 3 6 0 8 0&nbsp;</div><div>7-1: &nbsp;1 1 2 3 3 3 6 1 8 1&nbsp;</div><div>1-2: &nbsp;2 2 2 3 3 3 6 2 8 2&nbsp;</div>
<div>Give the id[] array that results from the following sequence of 9 union</div><div>operations on a set of 10 items using the weighted quick-union algorithm from lecture.</div><div><br /></div><div>&nbsp; &nbsp; 8-5 7-2 2-3 9-3 4-0 4-5 1-3 4-7 9-6&nbsp;</div><div><br /></div><div>Recall: when joining two trees of equal size, our weighted quick union convention&nbsp;is to make the root of the second tree point to the root of the first tree.</div>	<div>The correct answer is:4 7 7 7 7 8 7 7 4 7</div><div><br /></div><div>Here is the id[] array after each union operation:</div><div><br /></div><div>&nbsp; &nbsp; &nbsp; 0 1 2 3 4 5 6 7 8 9&nbsp;</div><div>8-5: &nbsp;0 1 2 3 4 8 6 7 8 9&nbsp;</div><div>7-2: &nbsp;0 1 7 3 4 8 6 7 8 9&nbsp;</div><div>2-3: &nbsp;0 1 7 7 4 8 6 7 8 9&nbsp;</div><div>9-3: &nbsp;0 1 7 7 4 8 6 7 8 7&nbsp;</div><div>4-0: &nbsp;4 1 7 7 4 8 6 7 8 7&nbsp;</div><div>4-5: &nbsp;4 1 7 7 4 8 6 7 4 7&nbsp;</div><div>1-3: &nbsp;4 7 7 7 4 8 6 7 4 7&nbsp;</div><div>4-7: &nbsp;4 7 7 7 7 8 6 7 4 7&nbsp;</div><div>9-6: &nbsp;4 7 7 7 7 8 7 7 4 7&nbsp;</div>
<div>Which of the following id[] array(s) could be the result of running the weighted quick union</div><div>algorithm on a set of 10 items?</div><div><div><br /></div><div>0 1 6 3 4 5 6 1 6 9</div><div>3 3 3 3 9 0 3 8 9 3</div><div>9 0 8 2 7 8 9 8 1 8</div><div>1 1 5 6 4 0 5 6 5 5</div><div>9 8 8 3 6 3 5 9 3 8</div></div>	<div>0 1 6 3 4 5 6 1 6 9 : 6-8 1-7 2-8&nbsp;</div><div>3 3 3 3 9 0 3 8 9 3 : 3-1 8-7 0-5 1-2 9-4 9-8 6-3 6-5 0-8&nbsp;</div><div>9 0 8 2 7 8 9 8 1 8 : The id[] array contains a cycle: 1-&gt;0-&gt;9-&gt;8-&gt;1</div><div>1 1 5 6 4 0 5 6 5 5 : Height of forest = 4 &gt; lg N = lg(10)</div><div>9 8 8 3 6 3 5 9 3 8 : Size of tree rooted at parent of 8 &lt; twice the size of tree rooted at 8</div>
<div>Given the following definition of a MysteryBox object:&nbsp;</div><div><br /></div><div>public class MysteryBox {</div><div>&nbsp; &nbsp; private double x0, x1, x2;</div><div>&nbsp; &nbsp; private int y0, y1;</div><div>&nbsp; &nbsp; private long z0, z1, z2, z3;</div><div>&nbsp; &nbsp; private boolean[] a = new boolean[72];</div><div><br /></div><div>&nbsp; &nbsp; ...</div><div>}</div><div><br /></div><div>Using the 64-bit memory cost model from lecture, how many bytes does each object of type MysteryBox use?</div>	<div>The correct answer is:184</div><div><br /></div><div>public class MysteryBox { &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; // &nbsp; 16 (object overhead)</div><div>&nbsp; &nbsp; private double x0, x1, x2; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;// &nbsp; 24 (3 double)</div><div>&nbsp; &nbsp; private int y0, y1; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; // &nbsp; &nbsp;8 (2 int)</div><div>&nbsp; &nbsp; private long z0, z1, z2, z3; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;// &nbsp; 32 (4 long)</div><div>&nbsp; &nbsp; private boolean[] a = new boolean[72]; &nbsp; &nbsp;// &nbsp; &nbsp;8 (reference to array)</div><div>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; // &nbsp; 96 (boolean array of size 72)</div><div>&nbsp; &nbsp; ... &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; 0 (padding)</div><div>} &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;----</div><div>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; 184</div>
